REFERENCIA;CONSUMIBLES;CAPACIDAD;COMPATIBILIDADES;DESCRIPCION
006R01632;Xerox Versant 2100/3100 Magenta Cartucho de Toner Original - 006R01632;25.000 Páginas;<Versant> 2100, 3100;"Cartucho de toner original Xerox Versant 2100/3100 (006R01632) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 2100
Xerox Versant 3100

Rendimiento: 25.000 Páginas"
006R01633;Xerox Versant 2100/3100 Amarillo Cartucho de Toner Original - 006R01633;25.000 Páginas;<Versant> 2100, 3100;"Cartucho de toner original Xerox Versant 2100/3100 (006R01633) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 2100
Xerox Versant 3100

Rendimiento: 25.000 Páginas"
006R01642;Xerox Versant 80 Negro Cartucho de Toner Original - 006R01642;20.000 Páginas;<Versant> 80 press;"Cartucho de toner original Xerox Versant 80 (006R01642) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 80 press

Rendimiento: 20.000 Páginas"
006R01643;Xerox Versant 80 Cyan Cartucho de Toner Original - 006R01643;22.000 Páginas;<Versant> 80 press;"Cartucho de toner original Xerox Versant 80 (006R01643) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 80 press

Rendimiento: 22.000 Páginas"
006R01644;Xerox Versant 80 Magenta Cartucho de Toner Original - 006R01644;22.000 Páginas;<Versant> 80 press;"Cartucho de toner original Xerox Versant 80 (006R01644) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 80 press

Rendimiento: 22.000 Páginas"
006R01645;Xerox Versant 80 Amarillo Cartucho de Toner Original - 006R01645;22.000 Páginas;<Versant> 80 press;"Cartucho de toner original Xerox Versant 80 (006R01645) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 80 press

Rendimiento: 22.000 Páginas"
006R01655;Xerox Color C60/C70 Negro Cartucho de Toner Original - 006R01655;30.000 Páginas;<Color> C60, C70;"Cartucho de toner original Xerox C60/C70 (006R01655) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color C60
Xerox Color C70

Rendimiento: 30.000 Páginas"
006R01656;Xerox Color C60/C70 Cyan Cartucho de Toner Original - 006R01656;34.000 Páginas;<Color> C60, C70;"Cartucho de toner original Xerox C60/C70 (006R01656) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color C60
Xerox Color C70

Rendimiento: 34.000 Páginas"
006R01657;Xerox Color C60/C70 Magenta Cartucho de Toner Original - 006R01657;34.000 Páginas;<Color> C60, C70;"Cartucho de toner original Xerox C60/C70 (006R01657) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color C60
Xerox Color C70

Rendimiento: 34.000 Páginas"
006R01658;Xerox Color C60/C70 Amarillo Cartucho de Toner Original - 006R01658;34.000 Páginas;<Color> C60, C70;"Cartucho de toner original Xerox C60/C70 (006R01658) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color C60
Xerox Color C70

Rendimiento: 34.000 Páginas"
006R01697;Xerox Altalink C8030/C8035/C8045/C8055/C8070 Negro Cartucho de Toner Original - 006R01697;26.000 Páginas;<AltaLink> C8030, C8035, C8045, C8055, C8070;"Cartucho de toner original Xerox Altalink C8030/C8035/C8045/C8055/C8070 (006R01697) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8030
Xerox AltaLink C8035
Xerox AltaLink C8045
Xerox AltaLink C8055
Xerox AltaLink C8070

Rendimiento: 26.000 Páginas"
006R01698;Xerox Altalink C8030/C8035/C8045/C8055/C8070 Cyan Cartucho de Toner Original - 006R01698;15.000 Páginas;<AltaLink> C8030, C8035, C8045, C8055, C8070;"Cartucho de toner original Xerox Altalink C8030/C8035/C8045/C8055/C8070 (006R01698) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8030
Xerox AltaLink C8035
Xerox AltaLink C8045
Xerox AltaLink C8055
Xerox AltaLink C8070

Rendimiento: 15.000 Páginas"
006R01699;Xerox Altalink C8030/C8035/C8045/C8055/C8070 Magenta Cartucho de Toner Original - 006R01699;15.000 Páginas;<AltaLink> C8030, C8035, C8045, C8055, C8070;"Cartucho de toner original Xerox Altalink C8030/C8035/C8045/C8055/C8070 (006R01699) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8030
Xerox AltaLink C8035
Xerox AltaLink C8045
Xerox AltaLink C8055
Xerox AltaLink C8070

Rendimiento: 15.000 Páginas"
006R01700;Xerox Altalink C8030/C8035/C8045/C8055/C8070 Amarillo Cartucho de Toner Original - 006R01700;15.000 Páginas;<AltaLink> C8030, C8035, C8045, C8055, C8070;"Cartucho de toner original Xerox Altalink C8030/C8035/C8045/C8055/C8070 (006R01700) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8030
Xerox AltaLink C8035
Xerox AltaLink C8045
Xerox AltaLink C8055
Xerox AltaLink C8070

Rendimiento: 15.000 Páginas"
006R01734;Xerox PrimeLink C9065/C9070 Negro Cartucho de Toner Original - 006R01734;30.000 paginas;<PrimeLink> C9065, C9070;"Cartucho de toner original Xerox PrimeLink C9065/C9070 (006R01734) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox PrimeLink C9065
Xerox PrimeLink C9070

Rendimiento: 30.000 paginas"
006R01735;Xerox PrimeLink C9065/C9070 Cyan Cartucho de Toner Original - 006R01735;34.000 paginas;<PrimeLink> C9065, C9070;"Cartucho de toner original Xerox PrimeLink C9065/C9070 (006R01735) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox PrimeLink C9065
Xerox PrimeLink C9070

Rendimiento: 34.000 paginas"
006R01736;Xerox PrimeLink C9065/C9070 Magenta Cartucho de Toner Original - 006R01736;34.000 paginas;<PrimeLink> C9065, C9070;"Cartucho de toner original Xerox PrimeLink C9065/C9070 (006R01736) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox PrimeLink C9065
Xerox PrimeLink C9070

Rendimiento: 34.000 paginas"
006R01737;Xerox PrimeLink C9065/C9070 Amarillo Cartucho de Toner Original - 006R01737;34.000 paginas;<PrimeLink> C9065, C9070;"Cartucho de toner original Xerox PrimeLink C9065/C9070 (006R01737) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox PrimeLink C9065
Xerox PrimeLink C9070

Rendimiento: 34.000 paginas"
006R01746;Xerox AltaLink C8130/C8135/C8145/C8155/C8170 Negro Cartucho de Toner Original - 006R01746;36.000 Páginas;<AltaLink> C8130, C8135, C8145, C8155, C8170;"Cartucho de toner original Xerox AltaLink C8130/C8135/C8145/C8155/C8170 (006R01746) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8130
Xerox AltaLink C8135
Xerox AltaLink C8145
Xerox AltaLink C8155
Xerox AltaLink C8170

Rendimiento: 36.000 Páginas"
006R01747;Xerox AltaLink C8130/C8135/C8145/C8155/C8170 Cyan Cartucho de Toner Original - 006R01747;21.000 Páginas;<AltaLink> C8130, C8135, C8145, C8155, C8170;"Cartucho de toner original Xerox AltaLink C8130/C8135/C8145/C8155/C8170 (006R01747) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8130
Xerox AltaLink C8135
Xerox AltaLink C8145
Xerox AltaLink C8155
Xerox AltaLink C8170

Rendimiento: 21.000 Páginas"
006R01748;Xerox AltaLink C8130/C8135/C8145/C8155/C8170 Magenta Cartucho de Toner Original - 006R01748;21.000 Páginas;<AltaLink> C8130, C8135, C8145, C8155, C8170;"Cartucho de toner original Xerox AltaLink C8130/C8135/C8145/C8155/C8170 (006R01748) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8130
Xerox AltaLink C8135
Xerox AltaLink C8145
Xerox AltaLink C8155
Xerox AltaLink C8170

Rendimiento: 21.000 Páginas"
006R01749;Xerox AltaLink C8130/C8135/C8145/C8155/C8170 Amarillo Cartucho de Toner Original - 006R01749;21.000 Páginas;<AltaLink> C8130, C8135, C8145, C8155, C8170;"Cartucho de toner original Xerox AltaLink C8130/C8135/C8145/C8155/C8170 (006R01749) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink C8130
Xerox AltaLink C8135
Xerox AltaLink C8145
Xerox AltaLink C8155
Xerox AltaLink C8170

Rendimiento: 21.000 Páginas"
006R01771;Xerox Altalink B8145/B8155/B8170/B8245/B8255/B8270 Negro Cartucho de Toner Original - 006R01771;52.000 Páginas;<AltaLink> B8145, B8155, B8170, B8245, B8255, B8270;"Cartucho de toner original Xerox Altalink B8145/B8155/B8170/B8245/B8255/B8270 (006R01771) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink B8145
Xerox AltaLink B8155
Xerox AltaLink B8170
Xerox AltaLink B8245
Xerox AltaLink B8255
Xerox AltaLink B8270

Rendimiento: 52.000 Páginas"
006R01824;Xerox VersaLink C7120 C7125 C7130 Negro Cartucho de Toner Original - 006R01824;31.300 Páginas;;"Cartucho de toner original Xerox VersaLink C7120 C7125 C7130 (006R01824) de alta calidad.

Rendimiento: 31.300 Páginas"
006R01825;Xerox VersaLink C7120 C7125 C7130 Cyan Cartucho de Toner Original - 006R01825;18.500 Páginas;;"Cartucho de toner original Xerox VersaLink C7120 C7125 C7130 (006R01825) de alta calidad.

Rendimiento: 18.500 Páginas"
006R01826;Xerox VersaLink C7120 C7125 C7130 Magenta Cartucho de Toner Original - 006R01826;18.500 Páginas;;"Cartucho de toner original Xerox VersaLink C7120 C7125 C7130 (006R01826) de alta calidad.

Rendimiento: 18.500 Páginas"
006R01827;Xerox VersaLink C7120 C7125 C7130 Amarillo Cartucho de Toner Original - 006R01827;18.500 Páginas;;"Cartucho de toner original Xerox VersaLink C7120 C7125 C7130 (006R01827) de alta calidad.

Rendimiento: 18.500 Páginas"
